epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.354,2.13726,4.42316,1.25557,0.01182,0.10603,0.03044,0.01773,2.11606,inf,1.0746,0.000190235,0.000190235,0.000190235
2,364.292,2.18192,3.83915,1.10795,0.03338,0.15401,0.06005,0.03569,2.05908,inf,1.06121,0.000381456,0.000381456,0.000381456
